filename,width,height,class,xmin,ymin,xmax,ymax
mosaic_1.jpg,1120,448,undamaged,0,0,224,224
mosaic_1.jpg,1120,448,damaged,224,0,448,224
mosaic_1.jpg,1120,448,undamaged,448,0,672,224
mosaic_1.jpg,1120,448,undamaged,672,0,896,224
mosaic_1.jpg,1120,448,damaged,896,0,1120,224
mosaic_1.jpg,1120,448,undamaged,0,224,224,448
mosaic_1.jpg,1120,448,damaged,224,224,448,448
mosaic_1.jpg,1120,448,damaged,448,224,672,448
mosaic_1.jpg,1120,448,damaged,672,224,896,448
mosaic_1.jpg,1120,448,undamaged,896,224,1120,448
mosaic_2.jpg,1120,448,undamaged,0,0,224,224
mosaic_2.jpg,1120,448,damaged,224,0,448,224
mosaic_2.jpg,1120,448,damaged,448,0,672,224
mosaic_2.jpg,1120,448,damaged,672,0,896,224
mosaic_2.jpg,1120,448,undamaged,896,0,1120,224
mosaic_2.jpg,1120,448,damaged,0,224,224,448
mosaic_2.jpg,1120,448,undamaged,224,224,448,448
mosaic_2.jpg,1120,448,damaged,448,224,672,448
mosaic_2.jpg,1120,448,undamaged,672,224,896,448
mosaic_2.jpg,1120,448,undamaged,896,224,1120,448
mosaic_3.jpg,1120,448,undamaged,0,0,224,224
mosaic_3.jpg,1120,448,damaged,224,0,448,224
mosaic_3.jpg,1120,448,damaged,448,0,672,224
mosaic_3.jpg,1120,448,undamaged,672,0,896,224
mosaic_3.jpg,1120,448,damaged,896,0,1120,224
mosaic_3.jpg,1120,448,undamaged,0,224,224,448
mosaic_3.jpg,1120,448,damaged,224,224,448,448
mosaic_3.jpg,1120,448,damaged,448,224,672,448
mosaic_3.jpg,1120,448,undamaged,672,224,896,448
mosaic_3.jpg,1120,448,damaged,896,224,1120,448
mosaic_4.jpg,1120,448,undamaged,0,0,224,224
mosaic_4.jpg,1120,448,undamaged,224,0,448,224
mosaic_4.jpg,1120,448,damaged,448,0,672,224
mosaic_4.jpg,1120,448,undamaged,672,0,896,224
mosaic_4.jpg,1120,448,damaged,896,0,1120,224
mosaic_4.jpg,1120,448,undamaged,0,224,224,448
mosaic_4.jpg,1120,448,damaged,224,224,448,448
mosaic_4.jpg,1120,448,undamaged,448,224,672,448
mosaic_4.jpg,1120,448,damaged,672,224,896,448
mosaic_4.jpg,1120,448,damaged,896,224,1120,448
mosaic_5.jpg,1120,448,undamaged,0,0,224,224
mosaic_5.jpg,1120,448,undamaged,224,0,448,224
mosaic_5.jpg,1120,448,undamaged,448,0,672,224
mosaic_5.jpg,1120,448,undamaged,672,0,896,224
mosaic_5.jpg,1120,448,undamaged,896,0,1120,224
mosaic_5.jpg,1120,448,undamaged,0,224,224,448
mosaic_5.jpg,1120,448,damaged,224,224,448,448
mosaic_5.jpg,1120,448,undamaged,448,224,672,448
mosaic_5.jpg,1120,448,damaged,672,224,896,448
mosaic_5.jpg,1120,448,damaged,896,224,1120,448
mosaic_6.jpg,1120,448,undamaged,0,0,224,224
mosaic_6.jpg,1120,448,damaged,224,0,448,224
mosaic_6.jpg,1120,448,damaged,448,0,672,224
mosaic_6.jpg,1120,448,damaged,672,0,896,224
mosaic_6.jpg,1120,448,undamaged,896,0,1120,224
mosaic_6.jpg,1120,448,damaged,0,224,224,448
mosaic_6.jpg,1120,448,undamaged,224,224,448,448
mosaic_6.jpg,1120,448,undamaged,448,224,672,448
mosaic_6.jpg,1120,448,damaged,672,224,896,448
mosaic_6.jpg,1120,448,undamaged,896,224,1120,448
mosaic_7.jpg,1120,448,damaged,0,0,224,224
mosaic_7.jpg,1120,448,undamaged,224,0,448,224
mosaic_7.jpg,1120,448,undamaged,448,0,672,224
mosaic_7.jpg,1120,448,damaged,672,0,896,224
mosaic_7.jpg,1120,448,damaged,896,0,1120,224
mosaic_7.jpg,1120,448,undamaged,0,224,224,448
mosaic_7.jpg,1120,448,damaged,224,224,448,448
mosaic_7.jpg,1120,448,undamaged,448,224,672,448
mosaic_7.jpg,1120,448,undamaged,672,224,896,448
mosaic_7.jpg,1120,448,damaged,896,224,1120,448
mosaic_8.jpg,1120,448,undamaged,0,0,224,224
mosaic_8.jpg,1120,448,undamaged,224,0,448,224
mosaic_8.jpg,1120,448,damaged,448,0,672,224
mosaic_8.jpg,1120,448,damaged,672,0,896,224
mosaic_8.jpg,1120,448,damaged,896,0,1120,224
mosaic_8.jpg,1120,448,damaged,0,224,224,448
mosaic_8.jpg,1120,448,undamaged,224,224,448,448
mosaic_8.jpg,1120,448,undamaged,448,224,672,448
mosaic_8.jpg,1120,448,undamaged,672,224,896,448
mosaic_8.jpg,1120,448,damaged,896,224,1120,448
mosaic_9.jpg,1120,448,undamaged,0,0,224,224
mosaic_9.jpg,1120,448,undamaged,224,0,448,224
mosaic_9.jpg,1120,448,damaged,448,0,672,224
mosaic_9.jpg,1120,448,undamaged,672,0,896,224
mosaic_9.jpg,1120,448,undamaged,896,0,1120,224
mosaic_9.jpg,1120,448,damaged,0,224,224,448
mosaic_9.jpg,1120,448,undamaged,224,224,448,448
mosaic_9.jpg,1120,448,undamaged,448,224,672,448
mosaic_9.jpg,1120,448,undamaged,672,224,896,448
mosaic_9.jpg,1120,448,undamaged,896,224,1120,448
mosaic_10.jpg,1120,448,undamaged,0,0,224,224
mosaic_10.jpg,1120,448,undamaged,224,0,448,224
mosaic_10.jpg,1120,448,damaged,448,0,672,224
mosaic_10.jpg,1120,448,undamaged,672,0,896,224
mosaic_10.jpg,1120,448,damaged,896,0,1120,224
mosaic_10.jpg,1120,448,undamaged,0,224,224,448
mosaic_10.jpg,1120,448,damaged,224,224,448,448
mosaic_10.jpg,1120,448,damaged,448,224,672,448
mosaic_10.jpg,1120,448,undamaged,672,224,896,448
mosaic_10.jpg,1120,448,damaged,896,224,1120,448
mosaic_11.jpg,1120,448,undamaged,0,0,224,224
mosaic_11.jpg,1120,448,undamaged,224,0,448,224
mosaic_11.jpg,1120,448,undamaged,448,0,672,224
mosaic_11.jpg,1120,448,undamaged,672,0,896,224
mosaic_11.jpg,1120,448,damaged,896,0,1120,224
mosaic_11.jpg,1120,448,damaged,0,224,224,448
mosaic_11.jpg,1120,448,undamaged,224,224,448,448
mosaic_11.jpg,1120,448,undamaged,448,224,672,448
mosaic_11.jpg,1120,448,undamaged,672,224,896,448
mosaic_11.jpg,1120,448,damaged,896,224,1120,448
mosaic_12.jpg,1120,448,damaged,0,0,224,224
mosaic_12.jpg,1120,448,undamaged,224,0,448,224
mosaic_12.jpg,1120,448,damaged,448,0,672,224
mosaic_12.jpg,1120,448,damaged,672,0,896,224
mosaic_12.jpg,1120,448,damaged,896,0,1120,224
mosaic_12.jpg,1120,448,undamaged,0,224,224,448
mosaic_12.jpg,1120,448,damaged,224,224,448,448
mosaic_12.jpg,1120,448,undamaged,448,224,672,448
mosaic_12.jpg,1120,448,damaged,672,224,896,448
mosaic_12.jpg,1120,448,undamaged,896,224,1120,448
mosaic_13.jpg,1120,448,undamaged,0,0,224,224
mosaic_13.jpg,1120,448,damaged,224,0,448,224
mosaic_13.jpg,1120,448,damaged,448,0,672,224
mosaic_13.jpg,1120,448,undamaged,672,0,896,224
mosaic_13.jpg,1120,448,damaged,896,0,1120,224
mosaic_13.jpg,1120,448,damaged,0,224,224,448
mosaic_13.jpg,1120,448,undamaged,224,224,448,448
mosaic_13.jpg,1120,448,undamaged,448,224,672,448
mosaic_13.jpg,1120,448,undamaged,672,224,896,448
mosaic_13.jpg,1120,448,damaged,896,224,1120,448
mosaic_14.jpg,1120,448,damaged,0,0,224,224
mosaic_14.jpg,1120,448,damaged,224,0,448,224
mosaic_14.jpg,1120,448,undamaged,448,0,672,224
mosaic_14.jpg,1120,448,damaged,672,0,896,224
mosaic_14.jpg,1120,448,damaged,896,0,1120,224
mosaic_14.jpg,1120,448,damaged,0,224,224,448
mosaic_14.jpg,1120,448,undamaged,224,224,448,448
mosaic_14.jpg,1120,448,undamaged,448,224,672,448
mosaic_14.jpg,1120,448,damaged,672,224,896,448
mosaic_14.jpg,1120,448,damaged,896,224,1120,448
mosaic_15.jpg,1120,448,undamaged,0,0,224,224
mosaic_15.jpg,1120,448,damaged,224,0,448,224
